what is the elevation of the highest point in the usa ||| SELECT max(highlow.highest_elevation) FROM highlow;
what state borders the least states ||| SELECT state.state_name FROM state left outer join border_info ON state.state_name = border_info.state_name GROUP BY state.state_name having count(border_info.border) = (SELECT min(cnt) FROM (SELECT state.state_name, count(border_info.border) AS cnt FROM state left outer join border_info ON state.state_name = border_info.state_name GROUP BY state.state_name) tmp);
what is the highest elevation in south carolina ||| SELECT highlow.highest_elevation FROM highlow WHERE highlow.state_name='south carolina';
what state borders michigan ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='michigan';
what is the population of texas ||| SELECT state.population FROM state WHERE state.state_name='texas';
what states have a city named austin ||| SELECT city.state_name FROM city WHERE city.city_name='austin';
where is springfield ||| SELECT city.state_name FROM city WHERE city.city_name='springfield';
show me all the major lakes in the us  ||| SELECT lake.lake_name FROM lake;
what is the population of rhode island ||| SELECT state.population FROM state WHERE state.state_name='rhode island';
how many states are in the united states ||| SELECT count(state.state_name) FROM state;
which states border hawaii ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='hawaii';
how many states border alaska ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name='alaska';
what is the number of neighboring states for kentucky ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name='kentucky';
what are the major cities in wyoming ||| SELECT city.city_name FROM city WHERE city.state_name='wyoming' AND city.population>150000;
what is the name of the state with the lowest point ||| SELECT highlow.state_name FROM highlow WHERE highlow.lowest_elevation=(SELECT min(highlow.lowest_elevation) FROM highlow);
what is the biggest city in georgia ||| SELECT city.city_name FROM city WHERE city.state_name='georgia' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='georgia');
what rivers run through the states that border the state with the capital atlanta ||| SELECT river.river_name FROM river WHERE river.traverse IN(SELECT border_info.border FROM border_info WHERE border_info.state_name IN(SELECT state.state_name FROM state WHERE state.capital='atlanta'));
what is the population of the capital of the largest state through which the mississippi runs ||| SELECT city.population FROM city WHERE city.city_name=(SELECT state.capital FROM state WHERE state.area=(SELECT max(state.area) FROM state,river WHERE river.traverse=state.state_name AND river.river_name='mississippi'));
which state is kalamazoo in ||| SELECT city.state_name FROM city WHERE city.city_name='kalamazoo';
what is the shortest river in texas ||| SELECT river.river_name FROM river WHERE river.traverse='texas' AND river.length=(SELECT min(river.length) FROM river WHERE river.traverse='texas');
what is the longest river in california ||| SELECT river.river_name FROM river WHERE river.traverse='california' AND river.length=(SELECT max(river.length) FROM river WHERE river.traverse='california');
which states border alaska ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='alaska';
what is the population of austin ||| SELECT city.population FROM city WHERE city.city_name='austin';
how many people live in hawaii ||| SELECT state.population FROM state WHERE state.state_name='hawaii';
how many rivers are there in idaho ||| SELECT count(river.river_name) FROM river WHERE river.traverse='idaho';
what is the highest point in wyoming ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='wyoming';
what is the population of idaho ||| SELECT state.population FROM state WHERE state.state_name='idaho';
how many people live in kalamazoo ||| SELECT city.population FROM city WHERE city.city_name='kalamazoo';
how many rivers does alaska have ||| SELECT count(river.river_name) FROM river WHERE river.traverse='alaska';
what are the rivers in the state of indiana ||| SELECT river.river_name FROM river WHERE river.traverse='indiana';
what is the lowest point in oregon ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.state_name='oregon';
where is scotts valley ||| SELECT city.state_name FROM city WHERE city.city_name='scotts valley';
how high are the highest points of all the states ||| SELECT highlow.highest_elevation FROM highlow;
what is the capital of the alabama state ||| SELECT state.capital FROM state WHERE state.state_name='alabama';
what are the major rivers in the us ||| SELECT river.river_name FROM river;
what is the size of california ||| SELECT state.area FROM state WHERE state.state_name='california';
what is the highest mountain in texas ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='texas';
how high is guadalupe peak ||| SELECT highlow.highest_elevation FROM highlow WHERE highlow.highest_point='guadalupe peak';
how many people live in washington dc ||| SELECT state.population FROM state WHERE state.state_name='district of columbia';
what is the largest capital ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city,state WHERE city.city_name=state.capital);
how many rivers are called colorado ||| SELECT count(river.river_name) FROM river WHERE river.river_name='colorado';
how big is massachusetts ||| SELECT state.area FROM state WHERE state.state_name='massachusetts';
what is the area of the states ||| SELECT state.area FROM state;
what is the population of new york ||| SELECT state.population FROM state WHERE state.state_name='new york';
how many states border hawaii ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name='hawaii';
which state border kentucky ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='kentucky';
where is mount whitney located ||| SELECT mountain.state_name FROM mountain WHERE mountain.mountain_name='whitney';
what is the highest point in the state with the smallest population ||| SELECT highlow.highest_point FROM highlow,state WHERE highlow.state_name=state.state_name AND state.state_name IN(SELECT state.state_name FROM state WHERE state.population=(SELECT min(state.population) FROM state));
what state has the least population density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT min(state.density) FROM state);
how many people live in spokane washington ||| SELECT city.population FROM city WHERE city.city_name='spokane' AND city.state_name='washington';
what states border states that the mississippi runs through ||| SELECT border_info.border FROM border_info WHERE border_info.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
which states does the longest river cross ||| SELECT river.traverse FROM river WHERE river.length=(SELECT max(river.length) FROM river);
which rivers are in alaska ||| SELECT river.river_name FROM river WHERE river.traverse='alaska';
what cities are located in pennsylvania ||| SELECT city.city_name FROM city WHERE city.state_name='pennsylvania';
what is the population density of the state with the smallest population ||| SELECT state.density FROM state WHERE state.population=(SELECT min(state.population) FROM state);
what river flows through texas ||| SELECT river.river_name FROM river WHERE river.traverse='texas';
which state has the largest city ||| SELECT city.state_name FROM city WHERE city.population=(SELECT max(city.population) FROM city);
what is the longest river that does not run through texas ||| SELECT distinct river.river_name FROM river WHERE NOT river.traverse='texas' AND river.length=(SELECT max(river.length) FROM river WHERE NOT river.traverse='texas');
what is the area of south carolina ||| SELECT state.area FROM state WHERE state.state_name='south carolina';
what are the largest cities in the states that border the largest state ||| SELECT city.city_name FROM city WHERE city.population IN (SELECT mx FROM (SELECT state.state_name , max(city.population) AS mx FROM state, city WHERE state.state_name = city.state_name AND state.state_name IN ( SELECT border_info.border FROM border_info GROUP BY border_info.border having count(1) = (SELECT max(cnt1) FROM (SELECT border_info.border, count(1) AS cnt1 FROM border_info GROUP BY border_info.border) tmp1)) GROUP BY state.state_name) tmp2);
what is the shortest river in the usa ||| SELECT river.river_name FROM river WHERE river.length=(SELECT min(river.length) FROM river);
what is the highest point in the smallest state ||| SELECT highlow.highest_point FROM highlow,state WHERE highlow.state_name=state.state_name AND state.area=(SELECT min(state.area) FROM state);
what state has the smallest population density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT min(state.density) FROM state);
how many rivers in washington ||| SELECT count(river.river_name) FROM river WHERE river.traverse='washington';
what is the population of illinois ||| SELECT state.population FROM state WHERE state.state_name='illinois';
what rivers run through arizona ||| SELECT river.river_name FROM river WHERE river.traverse='arizona';
how many people are in the state of nevada ||| SELECT state.population FROM state WHERE state.state_name='nevada';
what is the average population per square km in the us ||| SELECT sum(state.population)/sum(state.area) FROM state;
how large is the largest city in alaska ||| SELECT city.population FROM city WHERE city.state_name='alaska' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='alaska');
how many rivers are in missouri ||| SELECT count(river.river_name) FROM river WHERE river.traverse='missouri';
list the states ||| SELECT state.state_name FROM state;
what is the smallest state by area ||| SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state);
what is the most populous city in wyoming ||| SELECT city.city_name FROM city WHERE city.state_name='wyoming' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='wyoming');
how many people live in new mexico ||| SELECT state.population FROM state WHERE state.state_name='new mexico';
how many rivers do not traverse the state with the capital albany ||| SELECT count(river.river_name) FROM river WHERE river.traverse NOT IN(SELECT state.state_name FROM state WHERE state.capital='albany');
what is the longest river in texas ||| SELECT river.river_name FROM river WHERE river.traverse='texas' AND river.length=(SELECT max(river.length) FROM river WHERE river.traverse='texas');
how many major cities are in arizona ||| SELECT count(city.city_name) FROM city WHERE city.state_name='arizona' AND city.population>150000;
how many major cities are there ||| SELECT count(city.city_name) FROM city WHERE city.population>150000;
how high is the highest point of louisiana ||| SELECT highlow.highest_elevation FROM highlow WHERE highlow.state_name='louisiana';
what states border ohio ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='ohio';
what state has no rivers ||| SELECT state.state_name FROM state WHERE state.state_name NOT IN (SELECT river.traverse FROM river);
how many states border tennessee ||| SELECT count(border_info.border) FROM border_info WHERE border_info.state_name='tennessee';
what is the combined population of all 50 states ||| SELECT sum(state.population) FROM state;
what is the smallest state that borders texas ||| SELECT state.state_name FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='texas') AND state.area=(SELECT min(state.area) FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='texas' ));
through which states does the mississippi run ||| SELECT river.traverse FROM river WHERE river.river_name='mississippi';
name the major lakes in michigan ||| SELECT lake.lake_name FROM lake WHERE lake.state_name='michigan';
where is the lowest spot in iowa ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.state_name='iowa';
which state has the most people ||| SELECT state.state_name FROM state WHERE state.population=(SELECT max(state.population) FROM state);
in which state does the highest point in usa exist ||| SELECT highlow.state_name FROM highlow WHERE highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow);
what is the population of the major cities in wisconsin ||| SELECT city.population FROM city WHERE city.state_name='wisconsin' AND city.population>150000;
how many rivers are found in colorado ||| SELECT count(river.river_name) FROM river WHERE river.traverse='colorado';
what are the major cities of texas ||| SELECT city.city_name FROM city WHERE city.state_name='texas' AND city.population>150000;
how many inhabitants does montgomery have ||| SELECT city.population FROM city WHERE city.city_name='montgomery';
what is the tallest mountain in the united states ||| SELECT mountain.mountain_name FROM mountain WHERE mountain.mountain_altitude=(SELECT max(mountain.mountain_altitude) FROM mountain);
which states have points that are higher than the highest point in texas ||| SELECT highlow.state_name FROM highlow WHERE highlow.highest_elevation  > (SELECT highlow.highest_elevation FROM highlow WHERE highlow.state_name = 'texas');
which state has the sparsest population density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT min(state.density) FROM state);
how many states does the mississippi river run through ||| SELECT count(river.traverse) FROM river WHERE river.river_name='mississippi';
what are the major cities in the smallest state in the us ||| SELECT city.city_name FROM city WHERE city.population>150000 AND city.state_name=(SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state ));
what is the shortest river in the us ||| SELECT river.river_name FROM river WHERE river.length=(SELECT min(river.length) FROM river);
which states border alabama ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='alabama';
where is massachusetts ||| SELECT state.country_name FROM state WHERE state.state_name='massachusetts';
what rivers are in oregon ||| SELECT river.river_name FROM river WHERE river.traverse='oregon';
whats the largest city ? ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city);
which state has the greatest density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT max(state.density) FROM state);
what is the biggest river in illinois ||| SELECT river.river_name FROM river WHERE river.traverse='illinois' AND river.length=(SELECT max(river.length) FROM river WHERE river.traverse='illinois');
what rivers are in utah ||| SELECT river.river_name FROM river WHERE river.traverse='utah';
what cities in california ||| SELECT city.city_name FROM city WHERE city.state_name='california';
what is the capital of the state with the highest elevation ||| SELECT state.capital FROM state,highlow WHERE state.state_name=highlow.state_name AND highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow);
what state has the smallest area ||| SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state);
what is the area of the largest state ||| SELECT state.area FROM state WHERE state.area=(SELECT max(state.area) FROM state);
what is the population density of south dakota ||| SELECT state.density FROM state WHERE state.state_name='south dakota';
which states adjoin alabama ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='alabama';
states bordering iowa ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='iowa';
how many cities does texas have ||| SELECT count(city.city_name) FROM city WHERE city.state_name='texas';
how many states have a city named springfield ||| SELECT count(city.state_name) FROM city WHERE city.city_name='springfield';
how many cities are in montana ||| SELECT count(city.city_name) FROM city WHERE city.state_name='montana';
what state borders the least states excluding alaska and excluding hawaii ||| SELECT state.state_name FROM state left outer join border_info ON state.state_name = border_info.state_name WHERE state.state_name <> 'alaska' AND state.state_name <> 'hawaii' GROUP BY state.state_name having count(border_info.border) = (SELECT min(cnt) FROM (SELECT state.state_name, count(border_info.border) AS cnt FROM state left outer join border_info ON state.state_name = border_info.state_name WHERE state.state_name <> 'alaska' AND state.state_name <> 'hawaii' GROUP BY state.state_name) tmp);
what state is columbus the capital of ||| SELECT state.state_name FROM state WHERE state.capital='columbus';
name the rivers in arkansas ||| SELECT river.river_name FROM river WHERE river.traverse='arkansas';
what is the lowest point in california ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.state_name='california';
what is the shortest river in alaska ||| SELECT river.river_name FROM river WHERE river.traverse='alaska' AND river.length=(SELECT min(river.length) FROM river WHERE river.traverse='alaska');
what is the lowest point in the united states ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.lowest_elevation=(SELECT min(highlow.lowest_elevation) FROM highlow);
which capitals are in states that border texas ||| SELECT state.capital FROM state,border_info WHERE border_info.border=state.state_name AND border_info.state_name='texas';
how many major cities are in states bordering nebraska ||| SELECT count(city.city_name) FROM city WHERE city.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='nebraska') AND city.population>150000;
what is the capital of georgia ||| SELECT state.capital FROM state WHERE state.state_name='georgia';
what are the major cities in missouri ||| SELECT city.city_name FROM city WHERE city.state_name='missouri' AND city.population>150000;
what can you tell me about the population of missouri ||| SELECT state.population FROM state WHERE state.state_name='missouri';
what are the major cities of the united states ||| SELECT city.city_name FROM city WHERE city.population>150000;
what state is austin the capital of ||| SELECT state.state_name FROM state WHERE state.capital='austin';
what is the highest point in ohio ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name='ohio';
what is the longest river in new york ||| SELECT river.river_name FROM river WHERE river.traverse='new york' AND river.length=(SELECT max(river.length) FROM river WHERE river.traverse='new york');
how many states are next to major rivers ||| SELECT count(distinct river.traverse) FROM river WHERE river.length>750;
how many states are there in united states ||| SELECT count(state.state_name) FROM state;
what is the population of oregon ||| SELECT state.population FROM state WHERE state.state_name='oregon';
what is the biggest city in the smallest state ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city WHERE city.state_name IN(SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state))) AND city.state_name IN(SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state));
how many people live in riverside ||| SELECT city.population FROM city WHERE city.city_name='riverside';
what city has the largest population ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city);
what are the names of the major cities in illinois ||| SELECT city.city_name FROM city WHERE city.state_name='illinois' AND city.population>150000;
where is indianapolis ||| SELECT city.state_name FROM city WHERE city.city_name='indianapolis';
where is san jose ||| SELECT city.state_name FROM city WHERE city.city_name='san jose';
what is the area of the smallest state ||| SELECT state.area FROM state WHERE state.area=(SELECT min(state.area) FROM state);
what are the major cities in california ||| SELECT city.city_name FROM city WHERE city.state_name='california' AND city.population>150000;
what is the population of the capital of the largest state ||| SELECT city.population FROM city WHERE city.city_name=(SELECT state.capital FROM state WHERE state.area=(SELECT max(state.area) FROM state));
name the states which have no surrounding states ||| SELECT state.state_name FROM state WHERE state.state_name NOT IN(SELECT border_info.state_name FROM border_info);
name all the lakes of us ||| SELECT lake.lake_name FROM lake;
what is the largest city in michigan ||| SELECT city.city_name FROM city WHERE city.state_name='michigan' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='michigan');
what is the biggest city in texas ||| SELECT city.city_name FROM city WHERE city.state_name='texas' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='texas');
how many rivers are in the state with the highest point ||| SELECT count(river.river_name) FROM river,highlow WHERE river.traverse=highlow.state_name AND highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow);
how many states have a city called rochester ||| SELECT count(city.state_name) FROM city WHERE city.city_name='rochester';
what is the biggest city in the usa ||| SELECT city.city_name FROM city WHERE city.population=(SELECT max(city.population) FROM city);
what is the population of sacramento ||| SELECT city.population FROM city WHERE city.city_name='sacramento';
what is the area of alaska ||| SELECT state.area FROM state WHERE state.state_name='alaska';
what is the population of the capital of the smallest state ||| SELECT city.population FROM city WHERE city.city_name=(SELECT state.capital FROM state WHERE state.area=(SELECT min(state.area) FROM state));
give me all the states of usa ||| SELECT state.state_name FROM state;
what is the area of all the states combined ||| SELECT sum(state.area) FROM state;
what is the longest river that runs through a state that borders tennessee ||| SELECT river.river_name FROM river,border_info WHERE river.traverse=border_info.state_name AND border_info.border='tennessee' ORDER BY river.length DESC LIMIT 1;
which state has the highest peak in the country ? ||| SELECT mountain.state_name FROM mountain WHERE mountain.mountain_altitude = (SELECT max(mountain.mountain_altitude) FROM mountain);
what states have rivers named colorado ||| SELECT river.traverse FROM river WHERE river.river_name='colorado';
what rivers flow through the largest state ||| SELECT river.river_name FROM river WHERE river.traverse IN(SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state));
what is the capital city of the largest state in the us ||| SELECT state.capital FROM state WHERE state.area=(SELECT max(state.area) FROM state);
how many people live in south dakota ||| SELECT state.population FROM state WHERE state.state_name='south dakota';
how long is the mississippi river ||| SELECT river.length FROM river WHERE river.river_name='mississippi';
where is new orleans ||| SELECT city.state_name FROM city WHERE city.city_name='new orleans';
what is the population of denver ||| SELECT city.population FROM city WHERE city.city_name='denver';
what is the population of montana ||| SELECT state.population FROM state WHERE state.state_name='montana';
what major rivers run through illinois ||| SELECT river.river_name FROM river WHERE river.traverse='illinois' AND river.length>750;
what states border alaska ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='alaska';
what state has the highest population density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT max(state.density) FROM state);
what is the capital of utah ||| SELECT state.capital FROM state WHERE state.state_name='utah';
what rivers run through austin texas ? ||| SELECT river.river_name FROM river WHERE river.traverse='austin';
which state has the most rivers running through it ? ||| SELECT river.traverse FROM river GROUP BY river.traverse ORDER BY count(1) DESC LIMIT 1;
what rivers flow through the state with the largest population ||| SELECT river.river_name FROM river WHERE river.traverse IN(SELECT state.state_name FROM state WHERE state.population=(SELECT max(state.population) FROM state));
how high is the highest point of delaware ||| SELECT highlow.highest_elevation FROM highlow WHERE highlow.state_name='delaware';
what is the population of the largest state that borders texas ||| SELECT state.population FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='texas') AND state.area=(SELECT max(state.area) FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='texas' ));
what is the population density of the smallest state ||| SELECT state.density FROM state WHERE state.area=(SELECT min(state.area) FROM state);
how many people live in the state with the largest population density ||| SELECT state.population FROM state WHERE state.density=(SELECT max(state.density) FROM state);
how many people live in new york ||| SELECT state.population FROM state WHERE state.state_name='new york';
what state has the highest elevation ||| SELECT highlow.state_name FROM highlow WHERE highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow);
give me the cities in texas ||| SELECT city.city_name FROM city WHERE city.state_name='texas';
what state has the most rivers running through it ? ||| SELECT river.traverse FROM river GROUP BY river.traverse ORDER BY count(1) DESC LIMIT 1;
how many square kilometers in the us ||| SELECT sum(state.area) FROM state;
where is baton rouge ||| SELECT city.state_name FROM city WHERE city.city_name='baton rouge';
what states border states that border colorado ||| SELECT border_info.border FROM border_info WHERE border_info.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='mississippi');
how many cities are there in the us ||| SELECT count(city.city_name) FROM city;
what is the population of seattle washington ||| SELECT city.population FROM city WHERE city.city_name='seattle' AND city.state_name='washington';
how many people live in the smallest state bordering wyoming ||| SELECT state.population FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='wyoming') AND state.population=(SELECT max(state.population) FROM state WHERE state.state_name IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='wyoming' ));
how many rivers are in the state with the largest population ||| SELECT count(river.river_name) FROM river,state WHERE river.traverse=state.state_name AND state.state_name=(SELECT state.state_name FROM state WHERE state.population=(SELECT max(state.population) FROM state ));
what are the rivers in the state of texas ||| SELECT river.river_name FROM river WHERE river.traverse='texas';
what city has the least population ||| SELECT city.city_name FROM city WHERE city.population=(SELECT min(city.population) FROM city);
what is the city with the smallest population ||| SELECT city.city_name FROM city WHERE city.population=(SELECT min(city.population) FROM city);
which capitals are not major cities ? ||| SELECT state.capital FROM state, city WHERE state.capital = city.city_name AND city.population <= 150000;
how many states border the mississippi river ||| SELECT count(distinct border_info.border) FROM border_info WHERE border_info.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
what are the capital cities of the states which border texas ||| SELECT state.capital FROM state,border_info WHERE border_info.border=state.state_name AND border_info.state_name='texas';
what is the lowest point of the state with the largest area ||| SELECT highlow.lowest_point FROM highlow,state WHERE highlow.state_name=state.state_name AND state.state_name IN(SELECT state.state_name FROM state WHERE state.area=(SELECT max(state.area) FROM state));
what is the population of washington dc ||| SELECT state.population FROM state WHERE state.state_name='district of columbia';
what is the population of seattle ||| SELECT city.population FROM city WHERE city.city_name='seattle';
what rivers flow through missouri ||| SELECT river.river_name FROM river WHERE river.traverse='missouri';
which states does not border texas ||| SELECT state.state_name FROM state WHERE state.state_name NOT IN(SELECT border_info.border FROM border_info WHERE border_info.state_name='texas');
what is the lowest point of colorado ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.state_name='colorado';
what is the highest point in the state with capital des moines ||| SELECT highlow.highest_point FROM highlow WHERE highlow.state_name IN(SELECT state.state_name FROM state WHERE state.capital='des moines');
what are the states through which the longest river runs ||| SELECT river.traverse FROM river WHERE river.length=(SELECT max(river.length) FROM river);
what is the largest of the state that the rio grande runs through ||| SELECT state.state_name FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='rio grande') AND state.area=(SELECT max(state.area) FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='rio grande'));
how many people in boulder ||| SELECT city.population FROM city WHERE city.city_name='boulder';
what is the state with the lowest point ||| SELECT highlow.state_name FROM highlow WHERE highlow.lowest_elevation=(SELECT min(highlow.lowest_elevation) FROM highlow);
what is the largest city in texas ||| SELECT city.city_name FROM city WHERE city.state_name='texas' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='texas');
give me the cities in virginia ||| SELECT city.city_name FROM city WHERE city.state_name='virginia';
which state has the largest density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT max(state.density) FROM state);
what is capital of iowa ||| SELECT state.capital FROM state WHERE state.state_name='iowa';
sacramento is the capital of which state ||| SELECT state.state_name FROM state WHERE state.capital='sacramento';
what is the population of boston ||| SELECT city.population FROM city WHERE city.city_name='boston';
what is the population density of wyoming ||| SELECT state.density FROM state WHERE state.state_name='wyoming';
how many people live in austin texas ||| SELECT city.population FROM city WHERE city.city_name='austin' AND city.state_name='texas';
what are the major cities in the states through which the major river in virginia runs ||| SELECT city.city_name FROM city WHERE city.population>150000 AND city.state_name IN (SELECT river.traverse FROM river WHERE river.river_name IN (SELECT river.river_name FROM river WHERE river.traverse='virginia' AND river.length>750) );
what is the shortest river in the united states ||| SELECT river.river_name FROM river WHERE river.length=(SELECT min(river.length) FROM river);
how many states have cities named austin ||| SELECT count(city.state_name) FROM city WHERE city.city_name='austin';
what river runs through virginia ||| SELECT river.river_name FROM river WHERE river.traverse='virginia';
what is the population of south dakota ||| SELECT state.population FROM state WHERE state.state_name='south dakota';
where is fort wayne ||| SELECT city.state_name FROM city WHERE city.city_name='fort wayne';
what is the length of the river that traverses the most states ||| SELECT distinct river.length FROM river WHERE river.river_name = ( SELECT river_name FROM (SELECT river.river_name, count(1) AS cnt FROM river GROUP BY river.river_name ) tmp1 WHERE tmp1.cnt = (SELECT max (cnt) FROM (SELECT river.river_name, count(1) AS cnt FROM river GROUP BY river.river_name ) tmp2 ) );
what is the state with the largest density in usa ||| SELECT state.state_name FROM state WHERE state.density=(SELECT max(state.density) FROM state);
what are the populations of states through which the mississippi river runs ||| SELECT state.population FROM state WHERE state.state_name IN(SELECT river.traverse FROM river WHERE river.river_name='mississippi');
what is the population of the largest state ||| SELECT state.population FROM state WHERE state.area=(SELECT max(state.area) FROM state);
what is the smallest city in alaska ||| SELECT city.city_name FROM city WHERE city.state_name='alaska' AND city.population=(SELECT min(city.population) FROM city WHERE city.state_name='alaska');
what is the capital of the largest state ||| SELECT state.capital FROM state WHERE state.area=(SELECT max(state.area) FROM state);
what state which the mississippi runs through has the largest population ||| SELECT state.state_name FROM state WHERE state.state_name IN (SELECT river.traverse FROM river WHERE river.river_name = 'mississippi' ) ORDER BY state.population DESC LIMIT 1;
what states are next to texas ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='texas';
what is the capital of maryland ||| SELECT state.capital FROM state WHERE state.state_name='maryland';
which state is the largest city in montana in ? ||| SELECT city.state_name FROM city WHERE city.state_name='montana' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='montana');
what is the largest state that borders the state with the lowest point in the usa ||| SELECT border_info.state_name FROM state,border_info,highlow WHERE(state.state_name=border_info.border)AND(border_info.border=highlow.state_name) AND highlow.lowest_elevation=(SELECT min(highlow.lowest_elevation) FROM highlow) ORDER BY state.area DESC LIMIT 1;
which state borders florida ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='florida';
what rivers are in nevada ||| SELECT river.river_name FROM river WHERE river.traverse='nevada';
what is the most populated state bordering oklahoma ||| SELECT distinct state.state_name FROM border_info,state WHERE border_info.state_name='oklahoma' AND state.state_name=border_info.border AND state.population=(SELECT max(state.population) FROM border_info,state WHERE border_info.state_name='oklahoma' AND state.state_name=border_info.border);
what is the state wih the highest elevation in the united states ||| SELECT highlow.state_name FROM highlow WHERE highlow.highest_elevation=(SELECT max(highlow.highest_elevation) FROM highlow);
what is the length of the river that runs through the most number of states ||| SELECT distinct river.length FROM river WHERE river.river_name = ( SELECT river_name FROM (SELECT river.river_name, count(1) AS cnt FROM river GROUP BY river.river_name ) tmp1 WHERE tmp1.cnt = (SELECT max (cnt) FROM (SELECT river.river_name, count(1) AS cnt FROM river GROUP BY river.river_name ) tmp2 ) );
which states border south dakota ||| SELECT border_info.border FROM border_info WHERE border_info.state_name='south dakota';
where is houston ||| SELECT city.state_name FROM city WHERE city.city_name='houston';
what are the cities in california ||| SELECT city.city_name FROM city WHERE city.state_name='california';
what is the smallest state in the usa ||| SELECT state.state_name FROM state WHERE state.area=(SELECT min(state.area) FROM state);
give me the cities in usa ||| SELECT city.city_name FROM city;
what states have a capital that is the highest point in the state ? ||| SELECT state.state_name FROM state, highlow WHERE state.capital = highlow.highest_point;
what is the area of maine ||| SELECT state.area FROM state WHERE state.state_name='maine';
what is the largest city in alabama ||| SELECT city.city_name FROM city WHERE city.state_name='alabama' AND city.population=(SELECT max(city.population) FROM city WHERE city.state_name='alabama');
what is the largest state that borders california ||| SELECT state.state_name FROM border_info,state WHERE state.state_name=border_info.border AND border_info.state_name='california' AND state.area=(SELECT max(state.area) FROM border_info,state WHERE state.state_name=border_info.border AND border_info.state_name='california');
what is the lowest point in louisiana ||| SELECT highlow.lowest_point FROM highlow WHERE highlow.state_name='louisiana';
what state has the greatest population density ||| SELECT state.state_name FROM state WHERE state.density=(SELECT max(state.density) FROM state);
